Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2022/9/1;10:21:6;26.30;57.00
2022/9/1;10:21:17;26.30;57.00
2022/9/1;10:21:27;26.30;56.00
2022/9/1;10:21:38;26.30;56.00
2022/9/1;10:21:49;26.30;56.00
2022/9/1;10:21:59;26.30;56.00
2000/3/148;0:1:0;26.30;56.00
2022/9/1;10:22:21;26.30;56.00
2000/3/148;0:1:0;26.20;57.00
2022/9/1;10:22:42;26.20;57.00
2022/9/1;10:22:53;26.20;57.00
2022/9/1;10:23:3;26.20;57.00
2022/9/1;10:23:14;26.20;57.00
2022/9/1;10:23:25;26.20;57.00
2022/9/1;10:23:35;26.20;57.00
2022/9/1;10:23:46;26.30;57.00
2022/9/1;10:23:57;26.20;57.00
2022/9/1;10:24:7;26.20;57.00
2022/9/1;10:24:18;26.30;57.00
2022/9/1;10:24:29;26.20;56.00
2022/9/1;10:24:39;26.20;56.00
2022/9/1;10:24:50;26.20;56.00
2022/9/1;10:25:1;26.20;56.00
2022/9/1;10:25:11;26.20;57.00
2022/9/1;10:25:22;26.30;57.00
2022/9/1;10:25:33;26.30;57.00
2022/9/1;10:25:43;26.30;57.00
2022/9/1;10:25:54;26.30;57.00
2022/9/1;10:26:5;26.40;57.00
2022/9/1;10:26:15;26.40;57.00
2022/9/1;10:26:26;26.50;56.00
2022/9/1;10:26:37;26.50;56.00
2022/9/1;10:26:47;26.50;56.00
2022/9/1;10:26:58;26.50;56.00
2022/9/1;10:27:9;26.50;56.00
2022/9/1;10:27:19;26.50;56.00
2022/9/1;10:27:30;26.50;56.00
2022/9/1;10:27:41;26.50;56.00
2022/9/1;10:27:51;26.40;56.00
2022/9/1;10:28:2;26.40;57.00
2022/9/1;10:28:13;26.40;57.00
2022/9/1;10:28:23;26.40;57.00
2022/9/1;10:28:34;26.40;57.00
2022/9/1;10:28:45;26.40;57.00
2022/9/1;10:28:55;26.40;57.00
2022/9/1;10:29:6;26.40;57.00
2022/9/1;10:29:17;26.40;57.00
2022/9/1;10:29:27;26.30;57.00
2022/9/1;10:29:38;26.30;57.00
2022/9/1;10:29:49;26.30;57.00
2022/9/1;10:29:59;26.40;57.00
2022/9/1;10:30:10;26.30;57.00
2022/9/1;10:30:21;26.30;57.00
2022/9/1;10:30:31;26.30;57.00
2022/9/1;10:30:42;26.30;57.00
2022/9/1;10:30:53;26.30;57.00
2022/9/1;10:31:3;26.30;57.00
2022/9/1;10:31:14;26.20;57.00
2022/9/1;10:31:25;26.20;57.00
2022/9/1;10:31:35;26.20;57.00
2022/9/1;10:31:46;26.20;57.00
2022/9/1;10:31:57;26.20;57.00
2022/9/1;10:32:7;26.20;57.00
2022/9/1;10:32:18;26.20;57.00
2022/9/1;10:32:29;26.10;57.00
2022/9/1;10:32:39;26.10;57.00
2022/9/1;10:32:50;26.10;57.00
2022/9/1;10:33:1;26.10;58.00
2022/9/1;10:33:11;26.00;58.00
2022/9/1;10:33:22;26.10;58.00
2022/9/1;10:33:33;26.00;57.00
2022/9/1;10:33:43;26.00;57.00
2022/9/1;10:33:54;26.00;57.00
2022/9/1;10:34:5;26.00;57.00
2022/9/1;10:34:15;26.10;57.00
2022/9/1;10:34:26;26.10;57.00
2022/9/1;10:34:37;26.00;57.00
2022/9/1;10:34:47;26.10;57.00
2022/9/1;10:34:58;26.10;57.00
2022/9/1;10:35:9;26.10;57.00
2022/9/1;10:35:19;26.10;57.00
2022/9/1;10:35:30;26.10;57.00
2022/9/1;10:35:41;26.10;57.00
